rule_number,lhs,rhs,confidence,lift,leverage,conviction
2282,"['97+=97+_1', '132=132_0', '120=120_0', '124=124_0', '142=142_0']","['96+=96+_1', '133=133_0']",0.9,1.47,0.11,3.71
2283,"['97+=97+_1', '132=132_0', '120=120_0', '124=124_0']","['96+=96+_1', '133=133_0', '142=142_0']",0.9,1.47,0.11,3.71
2308,"['97+=97+_1', '132=132_0', '124=124_0']","['96+=96+_1', '133=133_0']",0.89,1.46,0.13,3.61
2309,"['97+=97+_1', '132=132_0', '124=124_0', '142=142_0']","['96+=96+_1', '133=133_0']",0.89,1.46,0.13,3.61
2310,"['97+=97+_1', '132=132_0', '124=124_0']","['96+=96+_1', '133=133_0', '142=142_0']",0.89,1.46,0.13,3.61
2320,"['97+=97+_1', '132=132_0', '120=120_0']","['96+=96+_1', '133=133_0']",0.89,1.46,0.13,3.57
2321,"['97+=97+_1', '132=132_0', '120=120_0', '142=142_0']","['96+=96+_1', '133=133_0']",0.89,1.46,0.13,3.57
2322,"['97+=97+_1', '132=132_0', '120=120_0']","['96+=96+_1', '133=133_0', '142=142_0']",0.89,1.46,0.13,3.57
2335,"['97+=97+_1', '132=132_0', '30=30_0']","['96+=96+_1', '133=133_0']",0.89,1.46,0.13,3.53
2336,"['97+=97+_1', '132=132_0', '30=30_0', '142=142_0']","['96+=96+_1', '133=133_0']",0.89,1.46,0.13,3.53
2337,"['97+=97+_1', '132=132_0', '30=30_0']","['96+=96+_1', '133=133_0', '142=142_0']",0.89,1.46,0.13,3.53
2296,"['97+=97+_1', '132=132_0', '30=30_0', '120=120_0']","['96+=96+_1', '133=133_0']",0.89,1.46,0.11,3.65
2297,"['97+=97+_1', '132=132_0', '30=30_0', '120=120_0', '142=142_0']","['96+=96+_1', '133=133_0']",0.89,1.46,0.11,3.65
2298,"['97+=97+_1', '132=132_0', '30=30_0', '120=120_0']","['96+=96+_1', '133=133_0', '142=142_0']",0.89,1.46,0.11,3.65
3125,"['96+=96+_1', '124=124_0', '133=133_0']","['97+=97+_1', '132=132_0']",0.85,1.47,0.13,2.87
3126,"['96+=96+_1', '124=124_0', '133=133_0', '142=142_0']","['97+=97+_1', '132=132_0']",0.85,1.47,0.13,2.87
3127,"['96+=96+_1', '124=124_0', '133=133_0']","['97+=97+_1', '132=132_0', '142=142_0']",0.85,1.47,0.13,2.87
3191,"['96+=96+_1', '120=120_0', '124=124_0', '133=133_0']","['97+=97+_1', '132=132_0']",0.85,1.47,0.11,2.84
3192,"['96+=96+_1', '120=120_0', '124=124_0', '133=133_0', '142=142_0']","['97+=97+_1', '132=132_0']",0.85,1.47,0.11,2.84
3193,"['96+=96+_1', '120=120_0', '124=124_0', '133=133_0']","['97+=97+_1', '132=132_0', '142=142_0']",0.85,1.47,0.11,2.84
3314,"['96+=96+_1', '121=121_0', '124=124_0', '133=133_0']","['97+=97+_1', '132=132_0']",0.85,1.46,0.1,2.72
3315,"['96+=96+_1', '121=121_0', '124=124_0', '133=133_0', '142=142_0']","['97+=97+_1', '132=132_0']",0.85,1.46,0.1,2.72
3316,"['96+=96+_1', '121=121_0', '124=124_0', '133=133_0']","['97+=97+_1', '132=132_0', '142=142_0']",0.85,1.46,0.1,2.72
3254,"['132=132_0', '30=30_0', '133=133_0']",['96+=96+_1'],0.85,0.98,-0.01,0.91
3255,"['132=132_0', '30=30_0', '133=133_0', '142=142_0']",['96+=96+_1'],0.85,0.98,-0.01,0.91
3256,"['132=132_0', '30=30_0', '133=133_0']","['96+=96+_1', '142=142_0']",0.85,0.98,-0.01,0.91
3308,['30=30_0'],['96+=96+_1'],0.85,0.98,-0.01,0.89
3309,"['30=30_0', '142=142_0']",['96+=96+_1'],0.85,0.98,-0.01,0.89
3310,['30=30_0'],"['96+=96+_1', '142=142_0']",0.85,0.98,-0.01,0.89
3353,"['132=132_0', '30=30_0', '120=120_0']",['96+=96+_1'],0.84,0.98,-0.01,0.88
3354,"['132=132_0', '30=30_0', '120=120_0', '142=142_0']",['96+=96+_1'],0.84,0.98,-0.01,0.88
3355,"['132=132_0', '30=30_0', '120=120_0']","['96+=96+_1', '142=142_0']",0.84,0.98,-0.01,0.88
3359,"['30=30_0', '133=133_0']",['96+=96+_1'],0.84,0.98,-0.01,0.88
3360,"['30=30_0', '133=133_0', '142=142_0']",['96+=96+_1'],0.84,0.98,-0.01,0.88
3361,"['30=30_0', '133=133_0']","['96+=96+_1', '142=142_0']",0.84,0.98,-0.01,0.88
3362,"['132=132_0', '30=30_0', '120=120_0', '133=133_0']",['96+=96+_1'],0.84,0.98,-0.01,0.88
3363,"['132=132_0', '30=30_0', '120=120_0', '133=133_0', '142=142_0']",['96+=96+_1'],0.84,0.98,-0.01,0.88
3364,"['132=132_0', '30=30_0', '120=120_0', '133=133_0']","['96+=96+_1', '142=142_0']",0.84,0.98,-0.01,0.88
3452,"['30=30_0', '120=120_0']",['96+=96+_1'],0.84,0.98,-0.01,0.87
3453,"['30=30_0', '120=120_0', '142=142_0']",['96+=96+_1'],0.84,0.98,-0.01,0.87
3454,"['30=30_0', '120=120_0']","['96+=96+_1', '142=142_0']",0.84,0.98,-0.01,0.87
3473,"['132=132_0', '30=30_0', '121=121_0']",['96+=96+_1'],0.84,0.97,-0.01,0.86
3474,"['132=132_0', '30=30_0', '121=121_0', '142=142_0']",['96+=96+_1'],0.84,0.97,-0.01,0.86
3475,"['132=132_0', '30=30_0', '121=121_0']","['96+=96+_1', '142=142_0']",0.84,0.97,-0.01,0.86
3476,"['132=132_0', '30=30_0', '121=121_0', '133=133_0']",['96+=96+_1'],0.84,0.97,-0.01,0.86
3477,"['132=132_0', '30=30_0', '121=121_0', '133=133_0', '142=142_0']",['96+=96+_1'],0.84,0.97,-0.01,0.86
3478,"['132=132_0', '30=30_0', '121=121_0', '133=133_0']","['96+=96+_1', '142=142_0']",0.84,0.97,-0.01,0.86
3494,"['30=30_0', '120=120_0', '133=133_0']",['96+=96+_1'],0.84,0.97,-0.01,0.85
3495,"['30=30_0', '120=120_0', '133=133_0', '142=142_0']",['96+=96+_1'],0.84,0.97,-0.01,0.85
3496,"['30=30_0', '120=120_0', '133=133_0']","['96+=96+_1', '142=142_0']",0.84,0.97,-0.01,0.85
3497,"['30=30_0', '121=121_0']",['96+=96+_1'],0.84,0.97,-0.01,0.85
3498,"['30=30_0', '121=121_0', '142=142_0']",['96+=96+_1'],0.84,0.97,-0.01,0.85
3499,"['30=30_0', '121=121_0']","['96+=96+_1', '142=142_0']",0.84,0.97,-0.01,0.85
3521,"['100=100_1', '30=30_0']",['96+=96+_1'],0.84,0.97,-0.01,0.85
3522,"['100=100_1', '30=30_0', '142=142_0']",['96+=96+_1'],0.84,0.97,-0.01,0.85
